date,time,open,high,low,close,volume
2016-01-30,23:00:00,380.57,380.63,379.41,380.51,64.96698331999998
2016-01-31,00:00:00,380.61,380.8,379.67,380.33,39.06004752000001
2016-01-31,01:00:00,380.34,381.53,380.24,381.22,36.68205169000001
2016-01-31,02:00:00,381.2,382.37,381.2,381.6,68.72720848
2016-01-31,03:00:00,381.69,382.02,381.32,381.86,30.371222050000004
2016-01-31,04:00:00,381.91,382.05,381.56,381.8,28.869282959999992
2016-01-31,05:00:00,381.83,382.08,381.46,381.63,17.60520380000001
2016-01-31,06:00:00,381.63,382.11,381.3,381.49,20.4479204
2016-01-31,07:00:00,381.61,381.79,381.15,381.64,11.862281529999994
2016-01-31,08:00:00,381.54,381.85,380.71,381.52,18.208259350000006
2016-01-31,09:00:00,381.48,381.64,381.05,381.64,11.444720769999991
2016-01-31,10:00:00,381.65,381.67,379.3,379.32,33.92362950000003
2016-01-31,11:00:00,379.31,380.07,377.87,378.57,59.23787748000001
2016-01-31,12:00:00,378.58,379.02,378.23,378.97,36.085642760000034
2016-01-31,13:00:00,378.91,378.98,378.58,378.58,52.62307366999999
2016-01-31,14:00:00,378.56,378.88,378.23,378.75,47.87944104999998
2016-01-31,15:00:00,378.84,379.0,378.58,378.68,47.43718533999994
2016-01-31,16:00:00,378.72,379.0,378.65,378.94,66.20077629000002
2016-01-31,17:00:00,378.94,379.0,378.15,378.97,47.533510179999986
2016-01-31,18:00:00,378.96,379.0,378.18,378.24,65.85962728
2016-01-31,19:00:00,378.26,378.98,374.49,374.5,79.10593393000013
2016-01-31,20:00:00,374.5,374.78,365.02,367.89,194.87375855999977
2016-01-31,21:00:00,367.89,370.58,367.89,369.29,144.51507048999994
2016-01-31,22:00:00,369.24,369.24,366.55,367.65,87.41458036999998
2016-01-31,23:00:00,367.65,370.72,367.65,370.65,125.21863636000009
2016-02-01,00:00:00,370.66,373.87,370.5,373.86,225.07614823
2016-02-01,01:00:00,373.88,375.0,373.37,373.5,77.22606700000023
2016-02-01,02:00:00,373.79,374.99,373.7,374.63,38.02434572999999
2016-02-01,03:00:00,374.63,375.59,374.63,374.87,59.54324594000002
2016-02-01,04:00:00,374.97,376.0,374.66,375.57,29.12061716
2016-02-01,05:00:00,375.44,376.0,374.63,375.55,14.805373379999994
2016-02-01,06:00:00,375.21,375.73,372.95,373.36,17.180592259999994
2016-02-01,07:00:00,373.48,379.0,373.04,377.91,140.14488657999996
2016-02-01,08:00:00,377.77,378.26,375.72,376.32,29.157416300000015
2016-02-01,09:00:00,376.47,377.11,375.2,376.0,61.147767749999936
2016-02-01,10:00:00,376.0,376.24,375.76,375.76,64.77585637
2016-02-01,11:00:00,375.86,376.0,374.5,374.87,51.92524442
2016-02-01,12:00:00,374.8,374.8,373.44,373.67,70.65526684000002
2016-02-01,13:00:00,373.56,374.66,373.36,373.48,52.99615230000003
2016-02-01,14:00:00,373.54,373.96,372.47,373.45,46.167846140000066
2016-02-01,15:00:00,373.24,373.24,371.43,371.5,49.11010488000001
2016-02-01,16:00:00,371.44,372.27,368.33,371.49,58.04136811999999
2016-02-01,17:00:00,371.5,371.5,369.09,369.6,97.71353373
2016-02-01,18:00:00,369.56,370.89,369.54,369.97,149.47491707000003
2016-02-01,19:00:00,369.99,371.5,369.99,370.76,166.9594029000001
2016-02-01,20:00:00,370.75,371.5,370.52,371.33,90.62424390000004
2016-02-01,21:00:00,371.33,372.67,371.33,372.51,115.12583464000004
2016-02-01,22:00:00,372.52,372.92,372.14,372.49,88.15361429000005
2016-02-01,23:00:00,372.49,373.0,371.97,372.74,135.51621431000007
2016-02-02,00:00:00,372.67,373.37,372.32,372.43,78.05330100000006
2016-02-02,01:00:00,372.42,373.45,372.18,373.41,40.19788946000002
2016-02-02,02:00:00,373.48,373.99,373.01,373.91,117.31890187999998
2016-02-02,03:00:00,373.9,374.09,372.53,372.93,67.35869357000003
2016-02-02,04:00:00,372.94,374.11,372.94,373.57,45.37025760000001
2016-02-02,05:00:00,373.61,374.37,372.77,373.67,24.72402782
2016-02-02,06:00:00,373.76,373.82,372.71,372.71,46.84156378
2016-02-02,07:00:00,372.7,373.03,372.04,373.03,44.98380169
2016-02-02,08:00:00,373.03,373.03,371.67,372.19,23.55499816000001
2016-02-02,09:00:00,372.19,372.49,371.59,371.81,25.69360662000001
2016-02-02,10:00:00,371.77,373.0,371.55,373.0,59.488421370000005
2016-02-02,11:00:00,373.0,373.0,371.96,372.51,122.96682747
2016-02-02,12:00:00,372.5,373.6,372.33,373.01,36.07672550000005
2016-02-02,13:00:00,373.01,373.96,372.43,372.73,64.57781077999998
2016-02-02,14:00:00,372.64,373.0,371.89,371.89,38.126253809999966
2016-02-02,15:00:00,371.91,372.98,371.91,372.63,29.903622060000043
2016-02-02,16:00:00,372.63,373.5,372.55,373.03,226.03446939999986
2016-02-02,17:00:00,372.95,373.62,372.28,373.02,70.85006961999996
2016-02-02,18:00:00,373.01,373.51,373.01,373.41,111.37524671000023
2016-02-02,19:00:00,373.44,373.49,373.26,373.44,69.0102072000001
2016-02-02,20:00:00,373.44,373.44,372.32,372.92,56.07005136000001
2016-02-02,21:00:00,372.93,372.99,372.74,372.9,49.758886250000025
2016-02-02,22:00:00,372.91,372.91,371.87,372.18,33.48732099000003
2016-02-02,23:00:00,372.11,372.55,372.05,372.55,36.76831963
2016-02-03,00:00:00,372.36,372.6,368.27,372.6,92.61673846999993
2016-02-03,01:00:00,372.82,373.0,372.13,372.41,57.23448240000002
2016-02-03,02:00:00,372.36,372.97,372.09,372.81,57.95716695000001
2016-02-03,03:00:00,372.81,372.81,371.55,372.35,59.98253478999998
2016-02-03,04:00:00,372.35,372.99,372.35,372.97,27.70739242000001
2016-02-03,05:00:00,372.97,373.0,372.91,373.0,38.44408885000002
2016-02-03,06:00:00,373.0,373.0,372.74,372.93,55.41256641000001
2016-02-03,07:00:00,372.93,372.94,372.37,372.55,23.217232339999985
2016-02-03,08:00:00,372.46,372.53,371.26,371.26,24.57458341000003
2016-02-03,09:00:00,371.26,372.13,367.22,371.36,141.28361382000008
2016-02-03,10:00:00,371.36,371.92,370.95,371.5,21.891435539999986
2016-02-03,11:00:00,371.37,371.84,370.5,370.5,33.65096718000003
2016-02-03,12:00:00,370.56,370.63,368.03,370.42,79.05671682000006
2016-02-03,13:00:00,370.44,371.05,370.12,370.61,37.85217303000002
2016-02-03,14:00:00,370.63,370.71,368.72,369.33,23.018445419999956
2016-02-03,15:00:00,369.33,369.59,368.13,369.59,41.58927545000004
2016-02-03,16:00:00,369.67,370.89,369.45,370.8,70.41498737000006
2016-02-03,17:00:00,370.66,370.66,369.49,369.56,90.05715184000013
2016-02-03,18:00:00,369.57,369.87,368.65,368.9,37.54101977000003
2016-02-03,19:00:00,368.57,368.61,365.7,367.18,118.84231991000013
2016-02-03,20:00:00,367.18,368.89,366.83,368.87,101.98422698000009
2016-02-03,21:00:00,368.87,369.5,368.79,369.49,162.85131653999997
2016-02-03,22:00:00,369.49,371.35,369.45,370.74,128.63221218000015
2016-02-03,23:00:00,370.73,371.0,370.64,370.97,80.21278809000002
2016-02-04,00:00:00,370.97,370.97,369.57,369.63,32.789342750000024
2016-02-04,01:00:00,369.63,370.5,369.16,369.84,9.428269379999987
2016-02-04,02:00:00,369.85,371.5,369.61,371.45,21.962409260000044
2016-02-04,03:00:00,371.45,371.5,371.08,371.38,41.331194189999955
2016-02-04,04:00:00,371.39,371.5,371.1,371.39,43.57667061000002
2016-02-04,05:00:00,371.39,371.83,371.36,371.55,18.853978540000004
2016-02-04,06:00:00,371.55,371.75,371.33,371.71,27.91721182000003
2016-02-04,07:00:00,371.75,371.91,371.33,371.91,23.104616599999996
2016-02-04,08:00:00,371.91,372.5,371.77,372.49,28.97537123
2016-02-04,09:00:00,372.49,372.77,372.34,372.43,24.261425889999984
2016-02-04,10:00:00,372.51,373.49,372.51,373.46,14.531767309999985
2016-02-04,11:00:00,373.47,385.0,373.18,383.16,184.31020998000002
2016-02-04,12:00:00,383.16,384.98,382.99,384.98,40.126958759999994
2016-02-04,13:00:00,384.98,387.52,383.64,385.92,73.66573620000011
2016-02-04,14:00:00,385.93,386.78,385.64,385.78,56.03035416999992
2016-02-04,15:00:00,385.78,386.0,383.84,383.84,24.545048690000055
2016-02-04,16:00:00,383.76,386.0,382.41,384.15,183.7041433499992
2016-02-04,17:00:00,384.37,389.91,383.78,389.49,104.49296790000047
2016-02-04,18:00:00,389.46,390.01,385.47,386.64,142.56337474000009
2016-02-04,19:00:00,386.63,387.98,386.27,387.63,115.27066609999996
2016-02-04,20:00:00,387.73,390.63,387.73,387.99,80.14309738000013
2016-02-04,21:00:00,387.99,388.0,386.63,388.0,47.29420566
2016-02-04,22:00:00,388.0,388.49,386.52,386.77,31.91486495000001
2016-02-04,23:00:00,386.96,387.49,386.71,386.82,74.74305552000007
2016-02-05,00:00:00,386.81,386.81,384.77,385.9,77.98824540000001
2016-02-05,01:00:00,385.84,385.99,385.06,385.84,52.26775512999995
2016-02-05,02:00:00,385.84,386.2,385.47,385.93,25.971912619999983
2016-02-05,03:00:00,385.92,385.92,383.47,383.47,23.83022165999998
2016-02-05,04:00:00,383.47,384.6,382.99,384.55,30.560720609999997
2016-02-05,05:00:00,384.51,386.0,384.35,386.0,17.748631239999995
2016-02-05,06:00:00,385.99,386.25,385.75,385.77,21.017102739999988
2016-02-05,07:00:00,385.78,385.95,384.41,385.7,15.139746459999987
2016-02-05,08:00:00,385.69,388.15,385.69,388.15,34.98640396000006
2016-02-05,09:00:00,388.15,389.27,388.15,388.72,32.79186226000004
2016-02-05,10:00:00,388.71,388.94,387.06,387.09,42.69283657000004
2016-02-05,11:00:00,387.07,387.17,386.17,386.45,37.60038331000004
2016-02-05,12:00:00,386.46,387.94,386.46,387.94,68.27704799999994
2016-02-05,13:00:00,387.94,388.4,385.75,385.92,97.07254203000024
2016-02-05,14:00:00,385.83,385.87,385.01,385.21,46.73185879999995
2016-02-05,15:00:00,385.19,386.0,384.21,385.82,64.72143896999997
2016-02-05,16:00:00,385.79,385.87,384.7,385.27,38.780314440000005
2016-02-05,17:00:00,385.28,385.98,384.44,385.2,60.39796829999995
2016-02-05,18:00:00,385.12,385.44,383.7,384.56,53.79208716999991
2016-02-05,19:00:00,384.56,385.2,383.43,385.2,37.56820648
2016-02-05,20:00:00,385.27,385.27,383.35,384.33,50.08419889999994
2016-02-05,21:00:00,384.44,384.47,375.01,377.91,92.87288215000052
2016-02-05,22:00:00,377.92,379.78,377.13,379.78,80.99099338000023
2016-02-05,23:00:00,379.78,380.36,379.03,380.02,56.632427749999984
2016-02-06,00:00:00,380.01,380.23,376.25,377.93,52.482229449999906
2016-02-06,01:00:00,377.52,378.41,375.68,375.68,71.90641965
